LAT,LONG,DMS_LAT,DMS_LONG,FC,DSG,PC,CC1,NT,LC,SHORT_FORM,GENERIC,SORT_NAME_RO,FULL_NAME_RO,FULL_NAME_ND_RO,SORT_NAME_RG,FULL_NAME_RG,FULL_NAME_ND_RG,NOTE,MODIFY_DATE,DISPLAY,NAME_RANK,NAME_LINK,TRANSL_CD
38.897278,46.181885,38:53:50N,46:10:55E,H,FLLS,,AM,NS,hye,,,Ձոր,Ձոր,Ձոր,Ձոր,Ձոր,Ձոր,,25/10/2016,12,,17804242,
38.897278,46.181885,38:53:50N,46:10:55E,H,FLLS,,AM,N,hye,,,DZOR,Dzor,Dzor,DZOR,Dzor,Dzor,,25/10/2016,12,1,17804620,hye_Armn2Latn_BGN_1981
39.427917,46.32373,39:25:41N,46:19:25E,H,FLLS,,AM,N,hye,,,SHRRAN,Shrran,Shrran,SHRRAN,Shrran,Shrran,,04/10/2016,12,1,17746843,hye_Armn2Latn_BGN_1981
39.427917,46.32373,39:25:41N,46:19:25E,H,FLLS,,AM,NS,hye,,,Շռան,Շռան,Շռան,Շռան,Շռան,Շռան,,04/10/2016,12,,17745626,
38.958313,46.332092,38:57:30N,46:19:56E,H,FLLS,,AM,N,hye,,,SHRRAN,Shrran,Shrran,SHRRAN,Shrran,Shrran,,06/10/2016,12,1,17752056,hye_Armn2Latn_BGN_1981
38.958313,46.332092,38:57:30N,46:19:56E,H,FLLS,,AM,NS,hye,,,Շռան,Շռան,Շռան,Շռան,Շռան,Շռան,,06/10/2016,12,,17751886,
38.957092,46.176514,38:57:26N,46:10:35E,H,FLLS,,AM,N,hye,,,SHRRSHYRR,Shrrshyrr,Shrrshyrr,SHRRSHYRR,Shrrshyrr,Shrrshyrr,,25/10/2016,12,1,17804668,hye_Armn2Latn_BGN_1981
38.957092,46.176514,38:57:26N,46:10:35E,H,FLLS,,AM,NS,hye,,,Շռշըռ,Շռշըռ,Շռշըռ,Շռշըռ,Շռշըռ,Շռշըռ,,25/10/2016,12,,17804291,
40.536072,44.197327,40:32:10N,44:11:50E,H,FLLS,,AM,NS,hye,,,Փոքր,Փոքր,Փոքր,Փոքր,Փոքր,Փոքր,,28/10/2016,12,,17817208,
40.536072,44.197327,40:32:10N,44:11:50E,H,FLLS,,AM,N,hye,,,POKR,P’ok’r,P'ok'r,POKR,P’ok’r,P'ok'r,,28/10/2016,12,1,17817902,hye_Armn2Latn_BGN_1981
